Date,Anomaly
185001,-0.4133
185002,-0.5225
185003,-0.6340
185004,-0.8360
185005,-1.0720
185006,-1.2780
185007,-1.5260
185008,-1.6800
185009,-1.8100
185010,-1.8300
185011,-1.4640
185012,-0.9020
185101,-0.5900
185102,-0.2020
185103,0.0240
185104,-0.0260
185105,-0.1760
185106,-0.1400
185107,-0.2660
185108,-0.1020
185109,-0.0160
185110,0.2420
185111,0.2040
185112,0.2040
185201,0.0460
185202,-0.0540
185203,-0.4560
185204,-0.4920
185205,-0.5120
185206,-0.5120
185207,-0.4900
185208,0.0360
185209,0.3240
185210,0.3900
185211,0.3220
185212,0.2020
185301,-0.3460
185302,-0.7360
185303,-0.9300
185304,-0.6160
185305,-0.2300
185306,0.1280
185307,0.3000
185308,0.5380
185309,0.4820
185310,0.3240
185311,0.1500
185312,-0.0580
185401,-0.0040
185402,0.0580
185403,0.1900
185404,-0.0200
185405,-0.0120
185406,-0.3140
185407,-0.6660
185408,-1.1420
185409,-1.1140
185410,-0.9300
185411,-0.7500
185412,-0.7060
185501,-0.6400
185502,-0.8160
185503,-1.0660
185504,-1.2140
185505,-1.0920
185506,-0.7500
185507,-0.3360
185508,0.1140
185509,0.3080
185510,0.3220
185511,0.2120
185512,0.1460
185601,0.0120
185602,-0.0420
185603,-0.2340
185604,-0.3040
185605,-0.2100
185606,-0.1860
185607,-0.0860
185608,0.2260
185609,0.3840
185610,0.3120
185611,0.2500
185612,0.1520
185701,-0.0960
185702,-0.1900
185703,-0.1760
185704,-0.2200
185705,-0.1900
185706,-0.0980
185707,-0.1900
185708,-0.4180
185709,-0.5260
185710,-0.1420
185711,0.1360
185712,0.3300
185801,0.4580
185802,0.5100
185803,0.1180
185804,-0.1620
185805,-0.4600
185806,-0.5700
185807,-0.4840
185808,-0.4240
185809,-0.3020
185810,-0.0800
185811,0.0720
185812,0.3100
185901,0.6260
185902,1.0120
185903,1.1520
185904,1.3440
185905,1.2220
185906,0.9460
185907,0.5680
185908,0.4880
185909,0.3720
185910,0.3300
185911,0.3420
185912,0.3780
186001,0.3560
186002,0.3180
186003,0.4220
186004,0.4500
186005,0.3520
186006,0.3380
186007,0.3420
186008,-0.0140
186009,-0.0760
186010,0.2920
186011,0.3600
186012,0.2900
186101,0.3120
186102,0.1980
186103,-0.2020
186104,-0.1840
186105,-0.1100
186106,0.0840
186107,0.1600
186108,0.3080
186109,0.3220
186110,0.4280
186111,0.4560
186112,0.4360
186201,0.3400
186202,0.1920
186203,-0.3640
186204,-0.4420
186205,-0.4900
186206,-0.5340
186207,-0.5780
186208,-0.0700
186209,0.0080
186210,-0.0140
186211,0.0360
186212,0.3780
186301,0.4480
186302,0.6820
186303,1.0660
186304,1.1300
186305,0.5300
186306,0.3360
186307,0.2240
186308,0.1840
186309,0.1980
186310,0.5200
186311,0.5300
186312,0.3240
186401,0.2680
186402,0.1860
186403,0.2660
186404,0.3740
186405,0.5980
186406,0.4900
186407,0.5360
186408,0.6260
186409,0.8180
186410,0.5820
186411,0.5120
186412,0.4020
186501,0.2060
186502,-0.1020
186503,-0.0600
186504,-0.0420
186505,0.1680
186506,0.4800
186507,0.7620
186508,0.8500
186509,0.8780
186510,0.7160
186511,0.4040
186512,0.2620
186601,0.2780
186602,0.4280
186603,0.6500
186604,0.8180
186605,0.7540
186606,0.8640
186607,1.0080
186608,0.7300
186609,0.4040
186610,0.4280
186611,0.3540
186612,0.1440
186701,0.2900
186702,0.6200
186703,0.6540
186704,0.5100
186705,0.6220
186706,0.6480
186707,0.6120
186708,0.5440
186709,0.6120
186710,0.3360
186711,0.1860
186712,-0.0540
186801,-0.0860
186802,-0.1460
186803,-0.0560
186804,0.1540
186805,0.2960
186806,0.3540
186807,0.3220
186808,0.2700
186809,0.1460
186810,0.2420
186811,0.2600
186812,0.4900
186901,0.4720
186902,0.3520
186903,0.2140
186904,0.0700
186905,0.0700
186906,0.2120
186907,0.3780
186908,0.5720
186909,0.8620
186910,0.7480
186911,0.7060
186912,0.6560
187001,0.4780
187002,0.4280
187003,0.6800
187004,0.7220
187005,0.9120
187006,1.0500
187007,0.6260
187008,0.0600
187009,-0.0520
187010,-0.3000
187011,-0.5480
187012,-0.3280
187101,-0.1680
187102,-0.2400
187103,-0.2100
187104,0.0300
187105,0.1140
187106,0.2120
187107,0.1520
187108,0.0920
187109,0.2400
187110,0.4840
187111,0.5900
187112,0.6700
187201,0.6060
187202,0.3240
187203,0.1100
187204,0.0440
187205,0.1940
187206,0.4740
187207,0.7500
187208,0.7500
187209,0.7180
187210,0.5380
187211,0.3340
187212,-0.0180
187301,-0.2260
187302,-0.4660
187303,-0.4960
187304,-0.2260
187305,0.1660
187306,0.5340
187307,0.8580
187308,1.0040
187309,0.7860
187310,0.7080
187311,0.6040
187312,0.3980
187401,0.3140
187402,0.2740
187403,0.0080
187404,0.0180
187405,0.1140
187406,0.2760
187407,0.3780
187408,0.4760
187409,0.2300
187410,0.0100
187411,-0.3040
187412,-0.2600
187501,-0.1120
187502,0.2680
187503,0.5480
187504,0.5820
187505,0.4540
187506,0.1000
187507,-0.2140
187508,-0.1040
187509,0.2060
187510,0.4760
187511,0.7940
187512,0.6620
187601,0.5440
187602,0.4200
187603,0.1060
187604,-0.1600
187605,-0.3640
187606,-0.4040
187607,-0.3340
187608,-0.6060
187609,-0.8040
187610,-0.6220
187611,-0.5740
187612,-0.5800
187701,-0.2280
187702,-0.1140
187703,0.1280
187704,0.1820
187705,0.2200
187706,0.1480
187707,0.3160
187708,0.4820
187709,0.5340
187710,0.3760
187711,0.3100
187712,0.4480
187801,0.3640
187802,0.2480
187803,0.2100
187804,0.3380
187805,0.4800
187806,0.3380
187807,0.5240
187808,0.5880
187809,0.3460
187810,0.1300
187811,-0.1700
187812,-0.4940
187901,-0.8720
187902,-0.6660
187903,-0.6160
187904,-0.2000
187905,-0.0180
187906,0.3800
187907,0.4760
187908,0.5420
187909,0.5140
187910,0.3440
187911,0.3820
187912,0.5080
188001,0.6220
188002,0.5020
188003,0.6780
188004,0.5720
188005,0.8140
188006,0.7020
188007,0.9240
188008,0.9480
188009,0.8600
188010,0.4000
188011,0.4360
188012,0.3800
188101,0.4220
188102,0.8620
188103,1.2760
188104,1.4900
188105,1.1740
188106,0.9320
188107,0.5740
188108,0.0500
188109,-0.6640
188110,-0.5500
188111,-0.2740
188112,-0.1920
188201,-0.1060
188202,0.1620
188203,0.1760
188204,-0.1500
188205,-0.3600
