Date,Anomaly
185001,0.01
185002,-0.31
185003,-0.94
185004,-0.85
185005,-1.08
185006,-1.00
185007,-1.49
185008,-1.97
185009,-2.09
185010,-1.85
185011,-1.65
185012,-1.59
185101,-0.14
185102,0.72
185103,-0.29
185104,0.29
185105,-0.46
185106,-0.39
185107,-0.03
185108,-0.11
185109,-0.34
185110,0.36
185111,0.04
185112,1.26
185201,-0.30
185202,-0.34
185203,-0.43
185204,-0.46
185205,-0.75
185206,-0.48
185207,-0.44
185208,-0.43
185209,-0.35
185210,1.88
185211,0.96
185212,-0.11
185301,-0.77
185302,-0.95
185303,-0.86
185304,-0.99
185305,-1.08
185306,0.80
185307,0.98
185308,0.93
185309,-0.13
185310,0.11
185311,0.52
185312,0.19
185401,0.06
185402,-1.17
185403,0.38
185404,0.83
185405,0.85
185406,-0.99
185407,-1.13
185408,-1.13
185409,-0.93
185410,-1.53
185411,-0.85
185412,-0.21
185501,-0.23
185502,-0.71
185503,-1.20
185504,-1.73
185505,-1.46
185506,-0.97
185507,-0.10
185508,0.51
185509,0.34
185510,0.79
185511,0.00
185512,-0.03
185601,-0.04
185602,0.01
185603,0.12
185604,-0.27
185605,-0.99
185606,-0.39
185607,0.48
185608,0.24
185609,0.23
185610,0.57
185611,0.40
185612,0.12
185701,-0.07
185702,-0.26
185703,-0.67
185704,-0.07
185705,0.19
185706,-0.29
185707,-0.11
185708,-0.21
185709,-0.53
185710,-0.95
185711,-0.83
185712,1.81
185801,1.18
185802,0.44
185803,-0.31
185804,-0.57
185805,-0.15
185806,-0.22
185807,-1.05
185808,-0.86
185809,-0.14
185810,0.15
185811,0.39
185812,0.06
185901,-0.10
185902,1.05
185903,1.73
185904,2.32
185905,0.76
185906,0.86
185907,0.44
185908,0.35
185909,0.43
185910,0.36
185911,0.28
185912,0.23
186001,0.41
186002,0.61
186003,0.25
186004,0.09
186005,0.75
186006,0.55
186007,0.12
186008,0.18
186009,0.11
186010,-1.03
186011,0.24
186012,1.96
186101,0.52
186102,-0.24
186103,-0.92
186104,-0.33
186105,-0.04
186106,0.61
186107,0.13
186108,0.05
186109,0.05
186110,0.70
186111,0.68
186112,0.66
186201,0.19
186202,-0.05
186203,0.22
186204,-0.06
186205,-2.12
186206,-0.20
186207,-0.29
186208,0.00
186209,-0.28
186210,0.42
186211,0.19
186212,-0.40
186301,0.25
186302,1.43
186303,0.77
186304,1.36
186305,1.52
186306,0.57
186307,-1.57
186308,-0.20
186309,0.80
186310,1.32
186311,0.64
