# Title: 0.0 Degrees N, 0.0 Degrees E Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1991-2020
Date,Anomaly
185001,-0.72
185002,-0.95
185003,-1.76
185004,-1.64
185005,-2.07
185006,-2.03
185007,-2.44
185008,-2.92
185009,-2.87
185010,-2.84
185011,-2.60
185012,-2.27
185101,-0.87
185102,0.08
185103,-1.11
185104,-0.50
185105,-1.45
185106,-1.42
185107,-0.98
185108,-1.06
185109,-1.12
185110,-0.63
185111,-0.91
185112,0.58
185201,-1.03
185202,-0.98
185203,-1.25
185204,-1.25
185205,-1.74
185206,-1.51
185207,-1.39
185208,-1.38
185209,-1.13
185210,0.89
185211,0.01
185212,-0.79
185301,-1.50
185302,-1.59
185303,-1.68
185304,-1.78
185305,-2.07
185306,-0.23
185307,0.03
185308,-0.02
185309,-0.91
185310,-0.88
185311,-0.43
185312,-0.49
185401,-0.67
185402,-1.81
185403,-0.44
185404,0.04
185405,-0.14
185406,-2.02
185407,-2.08
185408,-2.08
185409,-1.71
185410,-2.52
185411,-1.80
185412,-0.89
185501,-0.96
185502,-1.35
185503,-2.02
185504,-2.52
185505,-2.45
185506,-2.00
185507,-1.05
185508,-0.44
185509,-0.44
185510,-0.20
185511,-0.95
185512,-0.71
185601,-0.77
185602,-0.63
185603,-0.70
185604,-1.06
185605,-1.98
185606,-1.42
185607,-0.47
185608,-0.71
185609,-0.55
185610,-0.42
185611,-0.55
185612,-0.56
185701,-0.80
185702,-0.90
185703,-1.49
185704,-0.86
185705,-0.80
185706,-1.32
185707,-1.06
185708,-1.16
185709,-1.31
185710,-1.94
185711,-1.78
185712,1.13
185801,0.45
185802,-0.20
185803,-1.13
185804,-1.36
185805,-1.14
185806,-1.25
185807,-2.00
185808,-1.81
185809,-0.92
185810,-0.84
185811,-0.56
185812,-0.62
185901,-0.83
185902,0.41
185903,0.91
185904,1.53
185905,-0.23
185906,-0.17
185907,-0.51
185908,-0.60
185909,-0.35
185910,-0.63
185911,-0.67
185912,-0.45
186001,-0.32
186002,-0.03
186003,-0.57
186004,-0.70
186005,-0.24
186006,-0.48
186007,-0.83
186008,-0.77
186009,-0.67
186010,-2.02
186011,-0.71
186012,1.28
186101,-0.21
186102,-0.88
186103,-1.74
186104,-1.12
186105,-1.03
186106,-0.42
186107,-0.82
186108,-0.90
186109,-0.73
186110,-0.29
186111,-0.27
186112,-0.02
186201,-0.54
186202,-0.69
186203,-0.60
186204,-0.85
186205,-3.11
186206,-1.23
186207,-1.24
186208,-0.95
186209,-1.06
186210,-0.57
186211,-0.76
186212,-1.08
186301,-0.48
186302,0.79
186303,-0.05
186304,0.57
186305,0.53
186306,-0.46
186307,-2.52
186308,-1.15
186309,0.02
186310,0.33
186311,-0.31
186312,-0.64
186401,-0.88
186402,-0.87
186403,0.22
186404,-0.56
186405,-0.55
186406,-0.64
186407,-0.06
186408,-0.45
186409,-0.32
186410,-0.10
186411,0.40
186412,-0.97
186501,-0.58
186502,-0.73
186503,-0.91
186504,-0.98
186505,-1.07
186506,-0.79
186507,0.01
186508,0.52
186509,0.44
186510,-0.63
186511,-0.57
186512,-0.53
186601,-0.82
186602,-0.13
186603,-0.38
186604,0.34
186605,0.27
186606,-0.28
186607,-0.76
186608,0.04
186609,1.07
186610,-1.12
186611,-1.83
186612,-0.37
186701,-0.11
186702,0.16
186703,-0.22
186704,-0.02
186705,-0.51
186706,-1.13
186707,0.41
186708,-0.22
186709,-0.19
186710,-0.85
186711,-0.71
186712,-0.70
186801,-0.75
186802,-1.25
186803,-0.84
186804,-0.85
186805,-0.56
186806,0.00
186807,-0.85
186808,-0.68
186809,-1.00
186810,-0.82
186811,-0.54
186812,-0.10
186901,-0.37
186902,0.29
186903,-0.74
186904,-0.98
186905,-1.10
186906,-1.39
186907,-0.02
186908,-0.16
186909,-0.14
186910,-0.13
186911,0.14
186912,-0.32
187001,-0.15
187002,-0.25
187003,-0.85
187004,0.05
187005,0.63
187006,-0.24
187007,0.39
187008,-0.29
187009,-2.06
187010,-2.20
187011,-0.72
187012,-0.58
187101,-1.31
187102,-0.82
187103,-1.23
187104,-0.92
187105,-0.74
187106,-0.41
187107,-0.71
187108,-0.87
187109,-1.21
187110,-1.04
187111,0.41
187112,0.78
187201,-0.12
187202,-0.67
187203,-1.19
187204,-0.84
187205,-0.60
187206,-0.75
187207,-0.23
187208,0.08
187209,0.55
187210,-0.60
187211,-0.83
187212,-0.86
187301,-0.72
187302,-1.07
187303,-1.47
187304,-1.87
187305,-1.32
187306,0.33
187307,0.58
187308,0.24
187309,-0.24
187310,-0.59
187311,-0.68
187312,0.46
187401,-0.06
187402,-1.13
187403,-0.84
187404,-0.72
187405,-1.18
187406,-0.31
187407,-0.96
187408,-0.16
187409,-0.20
187410,-0.69
187411,-1.46
187412,-1.79
187501,-1.51
187502,0.16
187503,0.22
187504,0.60
187505,-0.70
187506,-1.64
187507,-0.79
187508,-1.68
187509,-0.96
187510,-0.15
187511,-0.01
187512,0.83
187601,0.13
187602,-1.48
187603,-0.57
187604,-0.47
187605,-1.05
187606,-1.50
187607,-2.81
187608,-0.90
187609,-0.11
187610,-2.41
187611,-2.41
187612,-1.63
187701,-0.44
187702,0.00
187703,-0.48
187704,-1.68
187705,-0.73
187706,-0.47
187707,-0.12
187708,-0.97
187709,-0.83
187710,0.10
187711,-0.13
187712,-0.64
187801,-1.08
187802,0.00
187803,-0.15
187804,-0.55
187805,-1.14
187806,-0.74
187807,0.40
187808,-0.99
187809,0.39
187810,-0.82
187811,-1.87
187812,-0.41
187901,-2.27
187902,-1.09
187903,-2.54
187904,-0.68
187905,-0.47
187906,-0.49
187907,-0.49
187908,-0.68
187909,-0.19
187910,-0.14
187911,-0.55
187912,-1.07
188001,-0.27
188002,0.58
188003,0.60
188004,-0.99
188005,-0.50
188006,-1.10
188007,1.48
188008,-0.09
188009,0.13
188010,-0.38
188011,-1.46
188012,-0.55
188101,0.31
188102,-0.01
188103,0.00
188104,0.90
188105,1.21
188106,1.08
188107,-1.90
188108,-1.34
188109,-0.88
188110,-1.41
188111,-2.41
188112,-1.06
188201,0.26
188202,-0.33
188203,-0.81
188204,-0.91
188205,-1.30
188206,-1.67
188207,-1.69
188208,-1.54
188209,-1.67
188210,-1.75
188211,-1.46
188212,-1.43
188301,-1.87
188302,-0.51
188303,-0.92
188304,-0.55
188305,-0.91
188306,-2.11
188307,-1.99
188308,-2.18
188309,-1.53
188310,-2.02
188311,-1.13
188312,-0.36
188401,-0.75
188402,-0.79
188403,-0.94
188404,-1.65
188405,-1.44
188406,-1.19
188407,-1.89
188408,-0.76
188409,-1.35
188410,-1.41
188411,-1.29
188412,-1.23
188501,-1.45
188502,-1.22
188503,-0.90
188504,-0.47
188505,-0.73
188506,-2.25
188507,-0.53
188508,0.37
188509,0.88
188510,0.79
188511,0.13
188512,-0.44
188601,-0.49
188602,-0.57
188603,-0.66
188604,-0.14
188605,-1.16
188606,-0.81
188607,-1.01
188608,-0.94
188609,-0.59
188610,-0.78
188611,-0.65
188612,-0.73
188701,-0.66
188702,-0.97
188703,-0.85
188704,-0.97
188705,-1.27
188706,-1.54
188707,-2.55
188708,-3.16
188709,-2.16
188710,-1.77
188711,-0.91
188712,-0.90
188801,-0.78
188802,-0.66
188803,-1.04
188804,-0.88
188805,-0.66
188806,-1.29
188807,-1.27
188808,-0.97
188809,-1.07
188810,-1.29
188811,-1.34
188812,-0.76
188901,-0.59
188902,-0.88
188903,-1.24
188904,-0.71
188905,0.25
188906,0.29
188907,0.71
188908,0.13
188909,-0.73
188910,-0.16
188911,-0.12
188912,-0.75
189001,-0.34
189002,-0.68
189003,-1.01
189004,-0.69
189005,-0.41
189006,-0.84
189007,-1.69
189008,-1.35
189009,-1.11
189010,-1.23
189011,-1.53
189012,-1.42
189101,-0.94
189102,-0.73
189103,-0.78
189104,-0.51
189105,-1.31
189106,-1.56
189107,-1.74
189108,-2.26
189109,-1.94
189110,-1.91
189111,-1.83
189112,-0.55
189201,-0.10
189202,-0.21
189203,-0.79
189204,-2.51
189205,-2.76
189206,-2.17
189207,-1.84
189208,-1.59
189209,-1.27
189210,-1.30
189211,-0.23
189212,0.19
189301,0.14
189302,-1.01
189303,-1.11
189304,-1.29
189305,-0.69
189306,-0.54
189307,-0.74
189308,-0.63
189309,-0.55
189310,-1.33
189311,-1.11
189312,-0.47
189401,-1.09
189402,-0.69
189403,-1.19
189404,-0.96
189405,-1.20
189406,-0.94
189407,-1.05
189408,-1.85
189409,-1.50
189410,-1.49
189411,-1.08
189412,-1.29
189501,-1.66
189502,-2.06
189503,-1.07
189504,-1.15
189505,-1.84
189506,-1.88
189507,-2.02
189508,-1.74
189509,-1.45
189510,-1.70
189511,-1.59
189512,-1.33
189601,-1.39
189602,-0.64
189603,-0.41
189604,-0.38
189605,-1.27
189606,-1.81
189607,-1.66
189608,-1.67
189609,-1.51
189610,-1.15
189611,-1.46
189612,-1.53
189701,-1.07
189702,-0.39
189703,-0.79
189704,-0.92
189705,-1.55
189706,-1.48
189707,-1.62
189708,-1.46
189709,-1.72
189710,-1.74
189711,-2.18
189712,-1.60
189801,-1.52
189802,-1.18
189803,-1.10
189804,-0.96
189805,-0.60
189806,-0.64
189807,-0.97
189808,-1.61
189809,-1.25
189810,-1.05
189811,-1.05
189812,-2.02
189901,-1.43
189902,-1.04
189903,-1.01
189904,-1.59
189905,-1.76
189906,-1.06
189907,-0.24
189908,-0.18
189909,0.33
189910,-1.41
189911,-1.10
189912,-1.30
190001,-1.14
190002,-0.85
190003,-0.30
190004,-1.25
190005,-1.81
190006,-2.38
190007,-1.02
190008,-0.44
190009,-0.20
190010,-1.21
190011,-1.17
190012,-1.52
190101,-0.43
190102,-0.63
190103,-0.99
190104,-1.92
190105,-1.63
190106,-2.11
190107,-1.09
190108,-0.95
190109,-0.41
190110,-0.34
190111,-0.81
190112,-1.26
190201,-1.28
190202,-1.01
190203,-0.71
190204,-0.47
190205,-1.07
190206,-1.57
190207,-2.61
190208,-1.78
190209,-1.41
190210,-2.48
190211,-2.38
190212,-2.38
190301,-1.72
190302,-1.47
190303,-1.79
190304,-1.74
190305,-1.80
190306,-1.29
190307,-1.68
190308,-2.10
190309,-1.70
190310,-1.03
190311,-1.52
190312,-1.72
190401,-2.60
190402,-2.31
190403,-2.53
190404,-2.34
190405,-2.75
190406,-2.40
190407,-2.42
190408,-2.18
190409,-1.89
190410,-1.98
190411,-1.65
190412,-1.48
190501,-2.00
190502,-1.89
190503,-1.95
190504,-1.69
190505,-1.77
190506,-1.85
190507,-2.63
190508,-2.84
190509,-2.61
190510,-1.88
190511,-1.97
190512,-2.05
190601,-2.04
190602,-1.81
190603,-0.96
190604,-1.62
190605,-1.97
190606,-2.35
190607,-2.16
190608,-2.13
190609,-1.90
190610,-2.07
190611,-1.52
190612,-1.37
190701,-1.29
190702,-1.15
190703,-1.00
190704,-0.95
190705,-1.62
190706,-1.77
190707,-1.78
190708,-1.67
190709,-1.62
190710,-1.62
190711,-1.12
190712,-1.16
190801,-1.34
190802,-1.56
190803,-1.47
190804,-1.07
190805,-1.32
190806,-1.75
190807,-2.00
190808,-1.50
190809,-1.25
