Date,Anomaly
185001,-0.1500
185002,-0.4133
185003,-0.7000
185004,-0.9567
185005,-0.9767
185006,-1.1900
185007,-1.4867
185008,-1.8500
185009,-1.9700
185010,-1.8633
185011,-1.6967
185012,-1.1267
185101,-0.3367
185102,0.0967
185103,0.2400
185104,-0.1533
185105,-0.1867
185106,-0.2933
185107,-0.1767
185108,-0.1600
185109,-0.0300
185110,0.0200
185111,0.5533
185112,0.3333
185201,0.2067
185202,-0.3567
185203,-0.4100
185204,-0.5467
185205,-0.5633
185206,-0.5567
185207,-0.4500
185208,-0.4067
185209,0.3667
185210,0.8300
185211,0.9100
185212,0.0267
185301,-0.6100
185302,-0.8600
185303,-0.9333
185304,-0.9767
185305,-0.4233
185306,0.2333
185307,0.9033
185308,0.5933
185309,0.3033
185310,0.1667
185311,0.2733
185312,0.2567
185401,-0.3067
185402,-0.2433
185403,0.0133
185404,0.6867
185405,0.2300
185406,-0.4233
185407,-1.0833
185408,-1.0633
185409,-1.1967
185410,-1.1033
185411,-0.8633
185412,-0.4300
185501,-0.3833
185502,-0.7133
185503,-1.2133
185504,-1.4633
185505,-1.3867
185506,-0.8433
185507,-0.1867
185508,0.2500
185509,0.5467
185510,0.3767
185511,0.2533
185512,-0.0233
185601,-0.0200
185602,0.0300
185603,-0.0467
185604,-0.3800
185605,-0.5500
185606,-0.3000
185607,0.1100
185608,0.3167
185609,0.3467
185610,0.4000
185611,0.3633
185612,0.1500
185701,-0.0700
185702,-0.3333
185703,-0.3333
185704,-0.1833
185705,-0.0567
185706,-0.0700
185707,-0.2033
185708,-0.2833
185709,-0.5633
185710,-0.7700
185711,0.0100
185712,0.7200
185801,1.1433
185802,0.4367
185803,-0.1467
185804,-0.3433
185805,-0.3133
185806,-0.4733
185807,-0.7100
185808,-0.6833
185809,-0.2833
185810,0.1333
185811,0.2000
185812,0.1167
185901,0.3367
185902,0.8933
185903,1.7000
185904,1.6033
185905,1.3133
185906,0.6867
185907,0.5500
185908,0.4067
185909,0.3800
185910,0.3567
185911,0.2900
185912,0.3067
186001,0.4167
186002,0.4233
186003,0.3167
186004,0.3633
186005,0.4633
186006,0.4733
186007,0.2833
186008,0.1367
186009,-0.2467
186010,-0.2267
186011,0.3900
186012,0.9067
